timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685468688086,107,03_Find_Flight-7,200,OK,Thread Group 1-1,text,true,,2940,812,2,2,http://192.168.17.1:1080/cgi-bin/reservations.pl,104,0,0
1685468687648,534,03_Find_Flight,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,15809,4966,2,2,null,523,11,0
1685468688172,63,03_Find_Flight-5,200,OK,Thread Group 1-2,bin,true,,1055,496,2,2,http://192.168.17.1:1080/WebTours/images/button_next.gif,63,0,0
1685468688236,73,03_Find_Flight-6,200,OK,Thread Group 1-2,text,true,,2686,927,2,2,http://192.168.17.1:1080/cgi-bin/reservations.pl,70,0,0
1685468688194,125,04_Payment-0,200,OK,Thread Group 1-1,text,true,,2825,945,2,2,http://192.168.17.1:1080/cgi-bin/reservations.pl,122,0,0
1685468688320,58,04_Payment-1,200,OK,Thread Group 1-1,bin,true,,1103,459,2,2,http://192.168.17.1:1080/WebTours/images/bookanother.gif,58,0,0
1685468688193,183,04_Payment,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,3928,1404,2,2,null,180,3,0
1685468688379,47,05_Logout-0,200,OK,Thread Group 1-1,text,true,,1025,558,2,2,http://192.168.17.1:1080/cgi-bin/welcome.pl?signOff=1,44,0,0
1685468688310,122,03_Find_Flight-7,200,OK,Thread Group 1-2,text,true,,2936,810,2,2,http://192.168.17.1:1080/cgi-bin/reservations.pl,120,0,0
1685468687897,528,03_Find_Flight,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,15797,4965,2,2,null,516,7,0
1685468688427,109,05_Logout-1,200,OK,Thread Group 1-1,text,true,,1747,465,2,2,http://192.168.17.1:1080/cgi-bin/nav.pl?in=home,106,0,0
1685468688379,156,05_Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,2772,1023,2,2,null,150,2,0
1685468688433,120,04_Payment-0,200,OK,Thread Group 1-2,text,true,,2824,946,1,1,http://192.168.17.1:1080/cgi-bin/reservations.pl,116,0,0
1685468688555,60,04_Payment-1,200,OK,Thread Group 1-2,bin,true,,1103,459,1,1,http://192.168.17.1:1080/WebTours/images/bookanother.gif,60,0,0
1685468688432,180,04_Payment,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,3927,1405,1,1,null,176,3,0
1685468688616,46,05_Logout-0,200,OK,Thread Group 1-2,text,true,,1025,558,1,1,http://192.168.17.1:1080/cgi-bin/welcome.pl?signOff=1,44,0,0
1685468688663,103,05_Logout-1,200,OK,Thread Group 1-2,text,true,,1747,465,1,1,http://192.168.17.1:1080/cgi-bin/nav.pl?in=home,101,0,0
1685468688616,149,05_Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,2772,1023,1,1,null,145,1,0
